,orderid,customerid,employeeid,orderdate,shippeddate,shipvia,freight,productid,unitprice,quantity,discount
31,10258,ERNSH,1,1996-07-17,1996-07-23,1,140.51,32,25.6,6,0.2
32,10259,CENTC,4,1996-07-18,1996-07-25,3,3.25,21,8,10,0
33,10259,CENTC,4,1996-07-18,1996-07-25,3,3.25,37,20.8,1,0
34,10260,OTTIK,4,1996-07-19,1996-07-29,1,55.09,41,7.7,16,0.25
35,10260,OTTIK,4,1996-07-19,1996-07-29,1,55.09,57,15.6,50,0
36,10260,OTTIK,4,1996-07-19,1996-07-29,1,55.09,62,39.4,15,0.25
37,10260,OTTIK,4,1996-07-19,1996-07-29,1,55.09,70,12,21,0.25
38,10261,QUEDE,4,1996-07-19,1996-07-30,2,3.05,21,8,20,0
39,10261,QUEDE,4,1996-07-19,1996-07-30,2,3.05,35,14.4,20,0
40,10262,RATTC,8,1996-07-22,1996-07-25,3,48.29,5,17,12,0.2
41,10262,RATTC,8,1996-07-22,1996-07-25,3,48.29,7,24,15,0
42,10262,RATTC,8,1996-07-22,1996-07-25,3,48.29,56,30.4,2,0
43,10263,ERNSH,9,1996-07-23,1996-07-31,3,146.06,16,13.9,60,0.25
44,10263,ERNSH,9,1996-07-23,1996-07-31,3,146.06,24,3.6,28,0
45,10263,ERNSH,9,1996-07-23,1996-07-31,3,146.06,30,20.7,60,0.25
46,10263,ERNSH,9,1996-07-23,1996-07-31,3,146.06,74,8,36,0.25
47,10264,FOLKO,6,1996-07-24,1996-08-23,3,3.67,2,15.2,35,0
48,10264,FOLKO,6,1996-07-24,1996-08-23,3,3.67,41,7.7,25,0.15
49,10265,BLONP,2,1996-07-25,1996-08-12,1,55.28,17,31.2,30,0
50,10265,BLONP,2,1996-07-25,1996-08-12,1,55.28,70,12,20,0
51,10266,WARTH,3,1996-07-26,1996-07-31,3,25.73,12,30.4,12,0.05
52,10267,FRANK,4,1996-07-29,1996-08-06,1,208.58,40,14.7,50,0
53,10267,FRANK,4,1996-07-29,1996-08-06,1,208.58,59,44,70,0.15
54,10267,FRANK,4,1996-07-29,1996-08-06,1,208.58,76,14.4,15,0.15
55,10268,GROSR,8,1996-07-30,1996-08-02,3,66.29,29,99,10,0
56,10268,GROSR,8,1996-07-30,1996-08-02,3,66.29,72,27.8,4,0
57,10269,WHITC,5,1996-07-31,1996-08-09,1,4.56,33,2,60,0.05
58,10269,WHITC,5,1996-07-31,1996-08-09,1,4.56,72,27.8,20,0.05
59,10270,WARTH,1,1996-08-01,1996-08-02,1,136.54,36,15.2,30,0
60,10270,WARTH,1,1996-08-01,1996-08-02,1,136.54,43,36.8,25,0
61,10271,SPLIR,6,1996-08-01,1996-08-30,2,4.54,33,2,24,0
62,10272,RATTC,6,1996-08-02,1996-08-06,2,98.03,20,64.8,6,0
63,10272,RATTC,6,1996-08-02,1996-08-06,2,98.03,31,10,40,0
64,10272,RATTC,6,1996-08-02,1996-08-06,2,98.03,72,27.8,24,0
65,10273,QUICK,3,1996-08-05,1996-08-12,3,76.07,10,24.8,24,0.05
66,10273,QUICK,3,1996-08-05,1996-08-12,3,76.07,31,10,15,0.05
67,10273,QUICK,3,1996-08-05,1996-08-12,3,76.07,33,2,20,0
68,10273,QUICK,3,1996-08-05,1996-08-12,3,76.07,40,14.7,60,0.05
69,10273,QUICK,3,1996-08-05,1996-08-12,3,76.07,76,14.4,33,0.05
70,10274,VINET,6,1996-08-06,1996-08-16,1,6.01,71,17.2,20,0
71,10274,VINET,6,1996-08-06,1996-08-16,1,6.01,72,27.8,7,0
72,10275,MAGAA,1,1996-08-07,1996-08-09,1,26.93,24,3.6,12,0.05
73,10275,MAGAA,1,1996-08-07,1996-08-09,1,26.93,59,44,6,0.05
74,10276,TORTU,8,1996-08-08,1996-08-14,3,13.84,10,24.8,15,0
75,10276,TORTU,8,1996-08-08,1996-08-14,3,13.84,13,4.8,10,0
76,10277,MORGK,2,1996-08-09,1996-08-13,3,125.77,28,36.4,20,0
77,10277,MORGK,2,1996-08-09,1996-08-13,3,125.77,62,39.4,12,0
78,10278,BERGS,8,1996-08-12,1996-08-16,2,92.69,44,15.5,16,0
79,10278,BERGS,8,1996-08-12,1996-08-16,2,92.69,59,44,15,0
80,10278,BERGS,8,1996-08-12,1996-08-16,2,92.69,63,35.1,8,0
81,10278,BERGS,8,1996-08-12,1996-08-16,2,92.69,73,12,25,0
82,10279,LEHMS,8,1996-08-13,1996-08-16,2,25.83,17,31.2,15,0.25
83,10280,BERGS,2,1996-08-14,1996-09-12,1,8.98,24,3.6,12,0
84,10280,BERGS,2,1996-08-14,1996-09-12,1,8.98,55,19.2,20,0
85,10280,BERGS,2,1996-08-14,1996-09-12,1,8.98,75,6.2,30,0
86,10281,ROMEY,4,1996-08-14,1996-08-21,1,2.94,19,7.3,1,0
87,10281,ROMEY,4,1996-08-14,1996-08-21,1,2.94,24,3.6,6,0
88,10281,ROMEY,4,1996-08-14,1996-08-21,1,2.94,35,14.4,4,0
89,10282,ROMEY,4,1996-08-15,1996-08-21,1,12.69,30,20.7,6,0
90,10282,ROMEY,4,1996-08-15,1996-08-21,1,12.69,57,15.6,2,0
91,10283,LILAS,3,1996-08-16,1996-08-23,3,84.81,15,12.4,20,0
92,10283,LILAS,3,1996-08-16,1996-08-23,3,84.81,19,7.3,18,0
93,10283,LILAS,3,1996-08-16,1996-08-23,3,84.81,60,27.2,35,0
94,10283,LILAS,3,1996-08-16,1996-08-23,3,84.81,72,27.8,3,0
95,10284,LEHMS,4,1996-08-19,1996-08-27,1,76.56,27,35.1,15,0.25
96,10284,LEHMS,4,1996-08-19,1996-08-27,1,76.56,44,15.5,21,0
97,10284,LEHMS,4,1996-08-19,1996-08-27,1,76.56,60,27.2,20,0.25
98,10284,LEHMS,4,1996-08-19,1996-08-27,1,76.56,67,11.2,5,0.25
99,10285,QUICK,1,1996-08-20,1996-08-26,2,76.83,1,14.4,45,0.2
100,10285,QUICK,1,1996-08-20,1996-08-26,2,76.83,40,14.7,40,0.2
101,10285,QUICK,1,1996-08-20,1996-08-26,2,76.83,53,26.2,36,0.2
102,10286,QUICK,8,1996-08-21,1996-08-30,3,229.24,35,14.4,100,0
103,10286,QUICK,8,1996-08-21,1996-08-30,3,229.24,62,39.4,40,0
104,10287,RICAR,8,1996-08-22,1996-08-28,3,12.76,16,13.9,40,0.15
105,10287,RICAR,8,1996-08-22,1996-08-28,3,12.76,34,11.2,20,0
106,10287,RICAR,8,1996-08-22,1996-08-28,3,12.76,46,9.6,15,0.15
107,10288,REGGC,4,1996-08-23,1996-09-03,1,7.45,54,5.9,10,0.1
108,10288,REGGC,4,1996-08-23,1996-09-03,1,7.45,68,10,3,0.1
109,10289,BSBEV,7,1996-08-26,1996-08-28,3,22.77,3,8,30,0
110,10289,BSBEV,7,1996-08-26,1996-08-28,3,22.77,64,26.6,9,0
111,10290,COMMI,8,1996-08-27,1996-09-03,1,79.7,5,17,20,0
112,10290,COMMI,8,1996-08-27,1996-09-03,1,79.7,29,99,15,0
113,10290,COMMI,8,1996-08-27,1996-09-03,1,79.7,49,16,15,0
114,10290,COMMI,8,1996-08-27,1996-09-03,1,79.7,77,10.4,10,0
115,10291,QUEDE,6,1996-08-27,1996-09-04,2,6.4,13,4.8,20,0.1
116,10291,QUEDE,6,1996-08-27,1996-09-04,2,6.4,44,15.5,24,0.1
117,10291,QUEDE,6,1996-08-27,1996-09-04,2,6.4,51,42.4,2,0.1
118,10292,TRADH,1,1996-08-28,1996-09-02,2,1.35,20,64.8,20,0
119,10293,TORTU,1,1996-08-29,1996-09-11,3,21.18,18,50,12,0
120,10293,TORTU,1,1996-08-29,1996-09-11,3,21.18,24,3.6,10,0
121,10293,TORTU,1,1996-08-29,1996-09-11,3,21.18,63,35.1,5,0
122,10293,TORTU,1,1996-08-29,1996-09-11,3,21.18,75,6.2,6,0
123,10294,RATTC,4,1996-08-30,1996-09-05,2,147.26,1,14.4,18,0
124,10294,RATTC,4,1996-08-30,1996-09-05,2,147.26,17,31.2,15,0
125,10294,RATTC,4,1996-08-30,1996-09-05,2,147.26,43,36.8,15,0
126,10294,RATTC,4,1996-08-30,1996-09-05,2,147.26,60,27.2,21,0
127,10294,RATTC,4,1996-08-30,1996-09-05,2,147.26,75,6.2,6,0
128,10295,VINET,2,1996-09-02,1996-09-10,2,1.15,56,30.4,4,0
129,10296,LILAS,6,1996-09-03,1996-09-11,1,0.12,11,16.8,12,0
130,10296,LILAS,6,1996-09-03,1996-09-11,1,0.12,16,13.9,30,0
131,10296,LILAS,6,1996-09-03,1996-09-11,1,0.12,69,28.8,15,0
132,10297,BLONP,5,1996-09-04,1996-09-10,2,5.74,39,14.4,60,0
133,10297,BLONP,5,1996-09-04,1996-09-10,2,5.74,72,27.8,20,0
134,10298,HUNGO,6,1996-09-05,1996-09-11,2,168.22,2,15.2,40,0
135,10298,HUNGO,6,1996-09-05,1996-09-11,2,168.22,36,15.2,40,0.25
136,10298,HUNGO,6,1996-09-05,1996-09-11,2,168.22,59,44,30,0.25
137,10298,HUNGO,6,1996-09-05,1996-09-11,2,168.22,62,39.4,15,0
138,10299,RICAR,4,1996-09-06,1996-09-13,2,29.76,19,7.3,15,0
139,10299,RICAR,4,1996-09-06,1996-09-13,2,29.76,70,12,20,0
140,10300,MAGAA,2,1996-09-09,1996-09-18,2,17.68,66,13.6,30,0
141,10300,MAGAA,2,1996-09-09,1996-09-18,2,17.68,68,10,20,0
142,10301,WANDK,8,1996-09-09,1996-09-17,2,45.08,40,14.7,10,0
143,10301,WANDK,8,1996-09-09,1996-09-17,2,45.08,56,30.4,20,0
144,10302,SUPRD,4,1996-09-10,1996-10-09,2,6.27,17,31.2,40,0
145,10302,SUPRD,4,1996-09-10,1996-10-09,2,6.27,28,36.4,28,0
146,10302,SUPRD,4,1996-09-10,1996-10-09,2,6.27,43,36.8,12,0
147,10303,GODOS,7,1996-09-11,1996-09-18,2,107.83,40,14.7,40,0.1
148,10303,GODOS,7,1996-09-11,1996-09-18,2,107.83,65,16.8,30,0.1
149,10303,GODOS,7,1996-09-11,1996-09-18,2,107.83,68,10,15,0.1
150,10304,TORTU,1,1996-09-12,1996-09-17,2,63.79,49,16,30,0
151,10304,TORTU,1,1996-09-12,1996-09-17,2,63.79,59,44,10,0
152,10304,TORTU,1,1996-09-12,1996-09-17,2,63.79,71,17.2,2,0
153,10305,OLDWO,8,1996-09-13,1996-10-09,3,257.62,18,50,25,0.1
154,10305,OLDWO,8,1996-09-13,1996-10-09,3,257.62,29,99,25,0.1
155,10305,OLDWO,8,1996-09-13,1996-10-09,3,257.62,39,14.4,30,0.1
156,10306,ROMEY,1,1996-09-16,1996-09-23,3,7.56,30,20.7,10,0
157,10306,ROMEY,1,1996-09-16,1996-09-23,3,7.56,53,26.2,10,0
158,10306,ROMEY,1,1996-09-16,1996-09-23,3,7.56,54,5.9,5,0
159,10307,LONEP,2,1996-09-17,1996-09-25,2,0.56,62,39.4,10,0
160,10307,LONEP,2,1996-09-17,1996-09-25,2,0.56,68,10,3,0
161,10308,ANATR,7,1996-09-18,1996-09-24,3,1.61,69,28.8,1,0
162,10308,ANATR,7,1996-09-18,1996-09-24,3,1.61,70,12,5,0
163,10309,HUNGO,3,1996-09-19,1996-10-23,1,47.3,4,17.6,20,0
164,10309,HUNGO,3,1996-09-19,1996-10-23,1,47.3,6,20,30,0
165,10309,HUNGO,3,1996-09-19,1996-10-23,1,47.3,42,11.2,2,0
166,10309,HUNGO,3,1996-09-19,1996-10-23,1,47.3,43,36.8,20,0
167,10309,HUNGO,3,1996-09-19,1996-10-23,1,47.3,71,17.2,3,0
168,10310,THEBI,8,1996-09-20,1996-09-27,2,17.52,16,13.9,10,0
169,10310,THEBI,8,1996-09-20,1996-09-27,2,17.52,62,39.4,5,0
170,10311,DUMON,1,1996-09-20,1996-09-26,3,24.69,42,11.2,6,0
171,10311,DUMON,1,1996-09-20,1996-09-26,3,24.69,69,28.8,7,0
172,10312,WANDK,2,1996-09-23,1996-10-03,2,40.26,28,36.4,4,0
173,10312,WANDK,2,1996-09-23,1996-10-03,2,40.26,43,36.8,24,0
174,10312,WANDK,2,1996-09-23,1996-10-03,2,40.26,53,26.2,20,0
175,10312,WANDK,2,1996-09-23,1996-10-03,2,40.26,75,6.2,10,0
176,10313,QUICK,2,1996-09-24,1996-10-04,2,1.96,36,15.2,12,0
177,10314,RATTC,1,1996-09-25,1996-10-04,2,74.16,32,25.6,40,0.1
178,10314,RATTC,1,1996-09-25,1996-10-04,2,74.16,58,10.6,30,0.1
179,10314,RATTC,1,1996-09-25,1996-10-04,2,74.16,62,39.4,25,0.1
180,10315,ISLAT,4,1996-09-26,1996-10-03,2,41.76,34,11.2,14,0
181,10315,ISLAT,4,1996-09-26,1996-10-03,2,41.76,70,12,30,0
182,10316,RATTC,1,1996-09-27,1996-10-08,3,150.15,41,7.7,10,0
183,10316,RATTC,1,1996-09-27,1996-10-08,3,150.15,62,39.4,70,0
184,10317,LONEP,6,1996-09-30,1996-10-10,1,12.69,1,14.4,20,0
185,10318,ISLAT,8,1996-10-01,1996-10-04,2,4.73,41,7.7,20,0
186,10318,ISLAT,8,1996-10-01,1996-10-04,2,4.73,76,14.4,6,0
187,10319,TORTU,7,1996-10-02,1996-10-11,3,64.5,17,31.2,8,0
188,10319,TORTU,7,1996-10-02,1996-10-11,3,64.5,28,36.4,14,0
189,10319,TORTU,7,1996-10-02,1996-10-11,3,64.5,76,14.4,30,0
190,10320,WARTH,5,1996-10-03,1996-10-18,3,34.57,71,17.2,30,0
191,10321,ISLAT,3,1996-10-03,1996-10-11,2,3.43,35,14.4,10,0
192,10322,PERIC,7,1996-10-04,1996-10-23,3,0.4,52,5.6,20,0
193,10323,KOENE,4,1996-10-07,1996-10-14,1,4.88,15,12.4,5,0
194,10323,KOENE,4,1996-10-07,1996-10-14,1,4.88,25,11.2,4,0
195,10323,KOENE,4,1996-10-07,1996-10-14,1,4.88,39,14.4,4,0
196,10324,SAVEA,9,1996-10-08,1996-10-10,1,214.27,16,13.9,21,0.15
197,10324,SAVEA,9,1996-10-08,1996-10-10,1,214.27,35,14.4,70,0.15
198,10324,SAVEA,9,1996-10-08,1996-10-10,1,214.27,46,9.6,30,0
199,10324,SAVEA,9,1996-10-08,1996-10-10,1,214.27,59,44,40,0.15
200,10324,SAVEA,9,1996-10-08,1996-10-10,1,214.27,63,35.1,80,0.15
201,10325,KOENE,1,1996-10-09,1996-10-14,3,64.86,6,20,6,0
202,10325,KOENE,1,1996-10-09,1996-10-14,3,64.86,13,4.8,12,0
203,10325,KOENE,1,1996-10-09,1996-10-14,3,64.86,14,18.6,9,0
204,10325,KOENE,1,1996-10-09,1996-10-14,3,64.86,31,10,4,0
205,10325,KOENE,1,1996-10-09,1996-10-14,3,64.86,72,27.8,40,0
206,10326,BOLID,4,1996-10-10,1996-10-14,2,77.92,4,17.6,24,0
207,10326,BOLID,4,1996-10-10,1996-10-14,2,77.92,57,15.6,16,0
208,10326,BOLID,4,1996-10-10,1996-10-14,2,77.92,75,6.2,50,0
209,10327,FOLKO,2,1996-10-11,1996-10-14,1,63.36,2,15.2,25,0.2
210,10327,FOLKO,2,1996-10-11,1996-10-14,1,63.36,11,16.8,50,0.2
211,10327,FOLKO,2,1996-10-11,1996-10-14,1,63.36,30,20.7,35,0.2
212,10327,FOLKO,2,1996-10-11,1996-10-14,1,63.36,58,10.6,30,0.2
213,10328,FURIB,4,1996-10-14,1996-10-17,3,87.03,59,44,9,0
214,10328,FURIB,4,1996-10-14,1996-10-17,3,87.03,65,16.8,40,0
215,10328,FURIB,4,1996-10-14,1996-10-17,3,87.03,68,10,10,0
216,10329,SPLIR,4,1996-10-15,1996-10-23,2,191.67,19,7.3,10,0.05
217,10329,SPLIR,4,1996-10-15,1996-10-23,2,191.67,30,20.7,8,0.05
218,10329,SPLIR,4,1996-10-15,1996-10-23,2,191.67,38,210.8,20,0.05
219,10329,SPLIR,4,1996-10-15,1996-10-23,2,191.67,56,30.4,12,0.05
220,10330,LILAS,3,1996-10-16,1996-10-28,1,12.75,26,24.9,50,0.15
221,10330,LILAS,3,1996-10-16,1996-10-28,1,12.75,72,27.8,25,0.15
222,10331,BONAP,9,1996-10-16,1996-10-21,1,10.19,54,5.9,15,0
223,10332,MEREP,3,1996-10-17,1996-10-21,2,52.84,18,50,40,0.2
224,10332,MEREP,3,1996-10-17,1996-10-21,2,52.84,42,11.2,10,0.2
225,10332,MEREP,3,1996-10-17,1996-10-21,2,52.84,47,7.6,16,0.2
226,10333,WARTH,5,1996-10-18,1996-10-25,3,0.59,14,18.6,10,0
227,10333,WARTH,5,1996-10-18,1996-10-25,3,0.59,21,8,10,0.1
228,10333,WARTH,5,1996-10-18,1996-10-25,3,0.59,71,17.2,40,0.1
229,10334,VICTE,8,1996-10-21,1996-10-28,2,8.56,52,5.6,8,0
230,10334,VICTE,8,1996-10-21,1996-10-28,2,8.56,68,10,10,0
231,10335,HUNGO,7,1996-10-22,1996-10-24,2,42.11,2,15.2,7,0.2
232,10335,HUNGO,7,1996-10-22,1996-10-24,2,42.11,31,10,25,0.2
233,10335,HUNGO,7,1996-10-22,1996-10-24,2,42.11,32,25.6,6,0.2
234,10335,HUNGO,7,1996-10-22,1996-10-24,2,42.11,51,42.4,48,0.2
235,10336,PRINI,7,1996-10-23,1996-10-25,2,15.51,4,17.6,18,0.1
236,10337,FRANK,4,1996-10-24,1996-10-29,3,108.26,23,7.2,40,0
237,10337,FRANK,4,1996-10-24,1996-10-29,3,108.26,26,24.9,24,0
238,10337,FRANK,4,1996-10-24,1996-10-29,3,108.26,36,15.2,20,0
239,10337,FRANK,4,1996-10-24,1996-10-29,3,108.26,37,20.8,28,0
240,10337,FRANK,4,1996-10-24,1996-10-29,3,108.26,72,27.8,25,0
241,10338,OLDWO,4,1996-10-25,1996-10-29,3,84.21,17,31.2,20,0
242,10338,OLDWO,4,1996-10-25,1996-10-29,3,84.21,30,20.7,15,0
243,10339,MEREP,2,1996-10-28,1996-11-04,2,15.66,4,17.6,10,0
244,10339,MEREP,2,1996-10-28,1996-11-04,2,15.66,17,31.2,70,0.05
245,10339,MEREP,2,1996-10-28,1996-11-04,2,15.66,62,39.4,28,0
246,10340,BONAP,1,1996-10-29,1996-11-08,3,166.31,18,50,20,0.05
247,10340,BONAP,1,1996-10-29,1996-11-08,3,166.31,41,7.7,12,0.05
248,10340,BONAP,1,1996-10-29,1996-11-08,3,166.31,43,36.8,40,0.05
249,10341,SIMOB,7,1996-10-29,1996-11-05,3,26.78,33,2,8,0
250,10341,SIMOB,7,1996-10-29,1996-11-05,3,26.78,59,44,9,0.15
251,10342,FRANK,4,1996-10-30,1996-11-04,2,54.83,2,15.2,24,0.2
252,10342,FRANK,4,1996-10-30,1996-11-04,2,54.83,31,10,56,0.2
253,10342,FRANK,4,1996-10-30,1996-11-04,2,54.83,36,15.2,40,0.2
254,10342,FRANK,4,1996-10-30,1996-11-04,2,54.83,55,19.2,40,0.2
255,10343,LEHMS,4,1996-10-31,1996-11-06,1,110.37,64,26.6,50,0
256,10343,LEHMS,4,1996-10-31,1996-11-06,1,110.37,68,10,4,0.05
257,10343,LEHMS,4,1996-10-31,1996-11-06,1,110.37,76,14.4,15,0
258,10344,WHITC,4,1996-11-01,1996-11-05,2,23.29,4,17.6,35,0
259,10344,WHITC,4,1996-11-01,1996-11-05,2,23.29,8,32,70,0.25
260,10345,QUICK,2,1996-11-04,1996-11-11,2,249.06,8,32,70,0
261,10345,QUICK,2,1996-11-04,1996-11-11,2,249.06,19,7.3,80,0
262,10345,QUICK,2,1996-11-04,1996-11-11,2,249.06,42,11.2,9,0
263,10346,RATTC,3,1996-11-05,1996-11-08,3,142.08,17,31.2,36,0.1
264,10346,RATTC,3,1996-11-05,1996-11-08,3,142.08,56,30.4,20,0
265,10347,FAMIA,4,1996-11-06,1996-11-08,3,3.1,25,11.2,10,0
266,10347,FAMIA,4,1996-11-06,1996-11-08,3,3.1,39,14.4,50,0.15
267,10347,FAMIA,4,1996-11-06,1996-11-08,3,3.1,40,14.7,4,0
268,10347,FAMIA,4,1996-11-06,1996-11-08,3,3.1,75,6.2,6,0.15
269,10348,WANDK,4,1996-11-07,1996-11-15,2,0.78,1,14.4,15,0.15
270,10348,WANDK,4,1996-11-07,1996-11-15,2,0.78,23,7.2,25,0
271,10349,SPLIR,7,1996-11-08,1996-11-15,1,8.63,54,5.9,24,0
272,10350,LAMAI,6,1996-11-11,1996-12-03,2,64.19,50,13,15,0.1
273,10350,LAMAI,6,1996-11-11,1996-12-03,2,64.19,69,28.8,18,0.1
274,10351,ERNSH,1,1996-11-11,1996-11-20,1,162.33,38,210.8,20,0.05
275,10351,ERNSH,1,1996-11-11,1996-11-20,1,162.33,41,7.7,13,0
276,10351,ERNSH,1,1996-11-11,1996-11-20,1,162.33,44,15.5,77,0.05
277,10351,ERNSH,1,1996-11-11,1996-11-20,1,162.33,65,16.8,10,0.05
278,10352,FURIB,3,1996-11-12,1996-11-18,3,1.3,24,3.6,10,0
279,10352,FURIB,3,1996-11-12,1996-11-18,3,1.3,54,5.9,20,0.15
280,10353,PICCO,7,1996-11-13,1996-11-25,3,360.63,11,16.8,12,0.2
281,10353,PICCO,7,1996-11-13,1996-11-25,3,360.63,38,210.8,50,0.2
282,10354,PERIC,8,1996-11-14,1996-11-20,3,53.8,1,14.4,12,0
283,10354,PERIC,8,1996-11-14,1996-11-20,3,53.8,29,99,4,0
284,10355,AROUT,6,1996-11-15,1996-11-20,1,41.95,24,3.6,25,0
285,10355,AROUT,6,1996-11-15,1996-11-20,1,41.95,57,15.6,25,0
286,10356,WANDK,6,1996-11-18,1996-11-27,2,36.71,31,10,30,0
287,10356,WANDK,6,1996-11-18,1996-11-27,2,36.71,55,19.2,12,0
288,10356,WANDK,6,1996-11-18,1996-11-27,2,36.71,69,28.8,20,0
289,10357,LILAS,1,1996-11-19,1996-12-02,3,34.88,10,24.8,30,0.2
290,10357,LILAS,1,1996-11-19,1996-12-02,3,34.88,26,24.9,16,0
291,10357,LILAS,1,1996-11-19,1996-12-02,3,34.88,60,27.2,8,0.2
292,10358,LAMAI,5,1996-11-20,1996-11-27,1,19.64,24,3.6,10,0.05
293,10358,LAMAI,5,1996-11-20,1996-11-27,1,19.64,34,11.2,10,0.05
294,10358,LAMAI,5,1996-11-20,1996-11-27,1,19.64,36,15.2,20,0.05
295,10359,SEVES,5,1996-11-21,1996-11-26,3,288.43,16,13.9,56,0.05
296,10359,SEVES,5,1996-11-21,1996-11-26,3,288.43,31,10,70,0.05
297,10359,SEVES,5,1996-11-21,1996-11-26,3,288.43,60,27.2,80,0.05
298,10360,BLONP,4,1996-11-22,1996-12-02,3,131.7,28,36.4,30,0
299,10360,BLONP,4,1996-11-22,1996-12-02,3,131.7,29,99,35,0
300,10360,BLONP,4,1996-11-22,1996-12-02,3,131.7,38,210.8,10,0
301,10360,BLONP,4,1996-11-22,1996-12-02,3,131.7,49,16,35,0
302,10360,BLONP,4,1996-11-22,1996-12-02,3,131.7,54,5.9,28,0
303,10361,QUICK,1,1996-11-22,1996-12-03,2,183.17,39,14.4,54,0.1
304,10361,QUICK,1,1996-11-22,1996-12-03,2,183.17,60,27.2,55,0.1
305,10362,BONAP,3,1996-11-25,1996-11-28,1,96.04,25,11.2,50,0
306,10362,BONAP,3,1996-11-25,1996-11-28,1,96.04,51,42.4,20,0
307,10362,BONAP,3,1996-11-25,1996-11-28,1,96.04,54,5.9,24,0
308,10363,DRACD,4,1996-11-26,1996-12-04,3,30.54,31,10,20,0
309,10363,DRACD,4,1996-11-26,1996-12-04,3,30.54,75,6.2,12,0
310,10363,DRACD,4,1996-11-26,1996-12-04,3,30.54,76,14.4,12,0
311,10364,EASTC,1,1996-11-26,1996-12-04,1,71.97,69,28.8,30,0
312,10364,EASTC,1,1996-11-26,1996-12-04,1,71.97,71,17.2,5,0
313,10365,ANTON,3,1996-11-27,1996-12-02,2,22,11,16.8,24,0
314,10366,GALED,8,1996-11-28,1996-12-30,2,10.14,65,16.8,5,0
315,10366,GALED,8,1996-11-28,1996-12-30,2,10.14,77,10.4,5,0
316,10367,VAFFE,7,1996-11-28,1996-12-02,3,13.55,34,11.2,36,0
317,10367,VAFFE,7,1996-11-28,1996-12-02,3,13.55,54,5.9,18,0
318,10367,VAFFE,7,1996-11-28,1996-12-02,3,13.55,65,16.8,15,0
319,10367,VAFFE,7,1996-11-28,1996-12-02,3,13.55,77,10.4,7,0
320,10368,ERNSH,2,1996-11-29,1996-12-02,2,101.95,21,8,5,0.1
321,10368,ERNSH,2,1996-11-29,1996-12-02,2,101.95,28,36.4,13,0.1
322,10368,ERNSH,2,1996-11-29,1996-12-02,2,101.95,57,15.6,25,0
323,10368,ERNSH,2,1996-11-29,1996-12-02,2,101.95,64,26.6,35,0.1
324,10369,SPLIR,8,1996-12-02,1996-12-09,2,195.68,29,99,20,0
325,10369,SPLIR,8,1996-12-02,1996-12-09,2,195.68,56,30.4,18,0.25
